COD_FOTO_R,COD_CRUCE_,NOMBRE,FECHA_DENU,UTM_X,UTM_Y,LATITUD,LONGITUD
724,701,ALBERTO AGUILERA - BALTASAR GRACIÁN,26/09/2016,439697.11,4475730.96,40.43003186611545,-3.710933067477425
1471,702,AVDA. AMERICA - CARTAGENA,26/09/2016,442927.54,4476728.35,40.439244769962635,-3.6729404663016028
1469,704,AVDA. CIUDAD BARCELONA - MENÉNDEZ PELAYO,02/02/2016,442264.49,4472835.47,40.404129959750236,-3.680404526470163
539,701,"AVDA. FILIPINAS, 18",08/12/2009,439774.02,4476846.37,40.440085531223055,-3.710132119187532
541,704,AVDA. ILUSTRACIÓN - BETANZOS,30/11/2009,439643.33,4481335.97,40.48052011088047,-3.7120999256737006
769,702,"AVDA. MEDITERRÁNEO, 32",12/12/2011,442886.68,4473142.79,40.40694137928856,-3.67310016924283
1547,703,CEA BERMÚDEZ - VALLEHERMOSO,02/02/2016,439896.4,4476708.97,40.43885662808015,-3.7086762283619987
770,701,"FRANCISCO SILVELA, 62",12/12/2011,442747.54,4476282.08,40.43521217616507,-3.6750224950627364
1551,704,"FRANCISCO SILVELA, 99",,442354.2,4476759.67,40.43948736813228,-3.679703101696044
1550,703,"JOAQUIN COSTA, 36",,442232.35,4476921.09,40.440933060680514,-3.681154418922112
728,701,JOAQUIN COSTA - VELAZQUEZ,26/09/2016,442051.85,4477144.55,40.442933534152516,-3.6833029843877583
1468,702,JOSE ABASCAL - SANTA ENGRACIA,02/02/2016,440561.57,4476668.95,40.43854392045951,-3.7008300837344867
768,701,MENÉNDEZ PELAYO - NIÑO JESÚS,23/02/2012,442516.73,4474002.28,40.4146586588303,-3.6775375186093706
1470,706,MONFORTE DE LEMOS - FINISTERRE,26/09/2016,440473.44,4481252.09,40.47982441191398,-3.7022989522764695
618,702,O'DONNELL CARRIL CENTRAL,08/07/2010,443315.1,4474707.54,40.42106677748052,-3.6681908424515526
439,702,"PO CASTELLANA, 105",30/11/2009,441447.02,4478449.26,40.45464457102745,-3.690554719436153
545,701,"PO CASTELLANA, 167",26/10/2006,441514.6,4479282.59,40.462156326665095,-3.689834538985223
746,703,"SINESIO DELGADO GTA P, CEBRERO",30/06/2014,439714.24,4480306.29,40.47124952965917,-3.7111654982490805
